player,team,games_played,avg_pts,avg_reb,avg_ast,avg_stl,avg_blk,avg_tov,avg_fg_pct,avg_3p_pct,avg_ts_pct,avg_gmsc,avg_plus_minus,win_pct,pts_rank,gmsc_rank,ts_rank
Obi Toppin,IND,98,10.6,4.1,1.6,0.6,0.4,0.9,0.51,0.308,0.615,8.6,-1.0,62.2,146,149,45
Ochai Agbaji,TOR,62,10.6,3.9,1.6,0.9,0.5,0.9,0.496,0.371,0.589,8.5,-3.4,30.6,146,151,89
Grayson Allen,PHO,64,10.6,3.0,2.1,0.8,0.3,1.2,0.454,0.428,0.644,8.4,-1.2,45.3,146,156,18
Quentin Grimes,DAL,45,10.6,3.9,2.2,0.7,0.2,1.4,0.411,0.338,0.543,8.1,0.1,55.6,146,164,191
Trendon Watford,BRK,42,10.5,3.8,2.7,0.6,0.3,2.0,0.451,0.256,0.539,7.4,-1.3,38.1,150,187,197
Isaiah Hartenstein,OKC,81,10.4,9.8,3.4,0.8,0.9,1.5,0.598,0.0,0.614,11.8,5.4,80.2,151,88,49
Kyle Filipowski,UTA,65,10.4,6.6,2.1,0.7,0.3,1.5,0.525,0.299,0.61,8.8,-5.3,20.0,151,144,55
Jaylen Wells,MEM,79,10.4,3.4,1.7,0.6,0.1,0.9,0.413,0.319,0.548,7.4,2.4,59.5,151,187,182
Nic Claxton,BRK,70,10.3,7.4,2.2,0.9,1.4,1.2,0.567,0.057,0.574,10.5,-7.1,28.6,154,106,118
Ausar Thompson,DET,64,10.3,5.2,2.2,1.6,0.7,1.4,0.542,0.107,0.571,9.5,1.2,54.7,154,128,127
Jose Alvarado,NOP,56,10.3,2.4,4.6,1.3,0.3,1.5,0.381,0.334,0.51,8.7,-4.1,33.9,154,147,238
Dalton Knecht,LAL,65,10.3,3.2,1.0,0.3,0.1,0.5,0.408,0.314,0.529,7.1,-1.2,56.9,154,198,213
Tyus Jones,PHO,81,10.2,2.4,5.3,0.9,0.1,1.1,0.431,0.387,0.564,9.9,-1.1,44.4,158,118,143
Justin Champagnie,WAS,53,10.2,6.5,1.1,1.2,0.7,1.0,0.476,0.347,0.577,9.8,-5.2,26.4,158,123,113
Chris Boucher,TOR,48,10.2,4.6,0.7,0.5,0.5,0.6,0.448,0.286,0.564,8.3,0.0,35.4,158,158,143
Matas Buzelis,CHI,66,10.2,4.1,1.2,0.4,1.1,1.1,0.465,0.382,0.581,7.7,-0.4,48.5,158,173,105
Kel'el Ware,MIA,62,10.0,8.1,1.1,0.7,1.1,1.0,0.575,0.217,0.616,9.9,0.4,41.9,162,118,43
Moses Moody,GSW,80,10.0,2.7,1.4,0.8,0.4,0.7,0.421,0.357,0.564,7.5,1.7,60.0,162,181,143
Ziaire Williams,BRK,63,10.0,4.6,1.3,1.0,0.4,1.1,0.39,0.312,0.533,7.4,-5.2,34.9,162,187,210
Amir Coffey,LAC,69,10.0,2.3,1.1,0.6,0.1,0.6,0.457,0.373,0.598,7.1,-0.7,58.0,162,198,69
Derrick Jones Jr.,LAC,84,9.9,3.3,0.7,1.0,0.5,0.8,0.528,0.325,0.606,7.7,3.0,60.7,166,173,64
Julian Champagnie,SAS,82,9.9,3.9,1.4,0.7,0.4,0.9,0.399,0.348,0.555,7.6,-0.8,41.5,166,179,167
Max Strus,CLE,59,9.8,4.5,3.3,0.5,0.2,1.0,0.425,0.36,0.585,8.5,4.7,74.6,168,151,95
Isaiah Joe,OKC,85,9.8,2.6,1.5,0.6,0.1,0.5,0.423,0.393,0.598,7.5,7.1,81.2,168,181,69
Bub Carrington,WAS,82,9.8,4.2,4.4,0.7,0.3,1.7,0.393,0.317,0.502,7.5,-9.7,22.0,168,181,245
Ricky Council IV,PHI,50,9.8,4.0,1.6,0.6,0.2,1.0,0.4,0.265,0.518,7.0,-3.7,28.0,168,205,231
Jaime Jaquez Jr.,MIA,59,9.6,4.8,2.7,1.0,0.2,1.6,0.456,0.241,0.538,8.3,-2.7,45.8,172,158,199
Anthony Black,ORL,83,9.6,3.1,2.9,1.1,0.6,1.7,0.417,0.269,0.509,7.3,-0.4,49.4,172,193,241
Jalen Wilson,BRK,78,9.6,3.5,1.9,0.5,0.1,1.0,0.413,0.332,0.554,6.6,-3.3,32.1,172,216,168
Luguentz Dort,OKC,95,9.5,4.1,1.4,1.1,0.5,0.8,0.406,0.366,0.552,7.4,6.3,76.8,175,187,172
Kevin Porter Jr.,LAC,44,9.5,3.6,3.3,1.0,0.3,1.9,0.406,0.205,0.453,6.7,-0.4,54.5,175,210,262
Yves Missi,NOP,71,9.4,8.4,1.4,0.5,1.3,1.1,0.545,0.0,0.565,10.0,-6.6,26.8,177,117,141
T.J. McConnell,IND,99,9.4,2.7,4.5,1.0,0.2,1.5,0.519,0.164,0.553,8.8,-0.7,64.6,177,144,170
Johnny Juzang,UTA,61,9.4,3.0,1.1,0.6,0.1,0.6,0.424,0.354,0.561,6.5,-5.5,23.0,177,220,154
